zip5,countyname,state_abbr
10001,New York,NY
10025,New York,NY
10030,New York,NY
10031,New York,NY
10035,New York,NY
10037,New York,NY
10039,New York,NY
10040,New York,NY
10301,Richmond,NY
10306,Richmond,NY
10308,Richmond,NY
10312,Richmond,NY
10314,Richmond,NY
10451,Bronx,NY
10452,Bronx,NY
10453,Bronx,NY
10456,Bronx,NY
10457,Bronx,NY
10459,Bronx,NY
10460,Bronx,NY
10462,Bronx,NY
10466,Bronx,NY
10467,Bronx,NY
11102,Queens,NY
11104,Queens,NY
11201,Kings,NY
11203,Kings,NY
11207,Kings,NY
11213,Kings,NY
11220,Kings,NY
11221,Kings,NY
11225,Kings,NY
11229,Kings,NY
11233,Kings,NY
11235,Kings,NY
11354,Queens,NY
11355,Queens,NY
11358,Queens,NY
11368,Queens,NY
11370,Queens,NY
11373,Queens,NY
11374,Queens,NY
11385,Queens,NY
11412,Queens,NY
11421,Queens,NY
11432,Queens,NY
07302,Hudson,NJ
